"","review_point","review_text"
"5591273",1,"실망이 매우큽니다...기대하고 봤는데 아니이게뭔가- -;;전혀 내용없네요  "
"8456128",1,"1점도 아깝다 영화로 고뮨하냐  "
"7874891",1,"시간뺏겼다아오  "
"1283306",1,"항상 뻔한 반일 소설 레퍼토리. 언제까지 근거없는 반일 영화로 돈벌래? ㅋㅋㅋ 그리고 당시 임시정부건 독립군이건 아무 힘도 없고 능력도 없는 단체였는데 거창하게도 미화하네 ㅋㅋㅋㅋ  "
"5655629",1,"한마디로 shit 입니다.  "
"3570284",10,"체드 마이클 머레이.. 넘멋져요 ㅋㅋ  "
"261834",10,"좋은영화입니다bbb  "
"130568",10,"감 동 실화라서 더 더욱 감동입니다  "
"2683925",10,"2편에서도 이어지는 어정쩡한 로맨스는 여전히 아쉽고 할리 베리는 여전히 예쁘다  "
"1726836",10,"영화 정말정말 재미있었지만 소설의 내용은 거의 들어가지 않았다... 광인이 너무 리얼하게 묘사되었고 원작과 다른 결말이 아쉽지만 이기홍 잘생겼다.  "
